,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
1233,Single-leg glute bridge,"The single-leg glute bridge is a lower-body exercise that targets the glutes, lower back, and hamstrings. It is performed one side at a time.",Strength,Glutes,Body Only,Intermediate,8.8,Average
1234,Step-up with knee raise,"The step-up with knee raise is a lower-body exercise targeting the quads, glutes, and hamstrings. It differs from a traditional step-up in that at the top, you lift the trailing leg up to full hip flexion. This gives the exercise a greater range of motion and more of a focus on powerful hip extension in the working leg. When performed with body weight, these are usually performed for high reps as part of a dynamic warm-up, as cardio acceleration, or as part of the lower-body portion of a workout or circuit.",Strength,Glutes,Body Only,Intermediate,8.7,Average
1235,Glute Kickback,,Strength,Glutes,Body Only,Beginner,8.3,Average
1236,Standing hip extension,The standing hip extension is a movement that activates the glutes and hamstrings. It is often performed either for time or reps as part of a dynamic warm-up.,Strength,Glutes,Body Only,Beginner,6.5,Average
1237,Lying glute stretch,"The lying glute stretch is a stretch to help increase flexibility in the glutes and hips. It involves rotating a single leg over the body while lying flat on the back, and reaching around the leg to facilitate a stretch. It is commonly included in dynamic warm-ups or cool-downs, but can also be performed as full-body mobility work anytime.",Stretching,Glutes,Body Only,Intermediate,4.8,Average
1238,Knee Across The Body,,Stretching,Glutes,Body Only,Intermediate,3.5,Average
1239,Seated Glute,,Stretching,Glutes,Body Only,Beginner,3.1,Average
1240,Lying Glute,,Stretching,Glutes,Body Only,Beginner,3.0,Average
1241,One Knee To Chest,,Stretching,Glutes,Body Only,Intermediate,2.7,Average
1242,Seated Glute Stretch,,Stretching,Glutes,Body Only,Beginner,0.0,
1243,Neck Bridge Supine,,Strength,Glutes,Body Only,Beginner,0.0,
1244,Walking High Knee,,Strength,Glutes,Body Only,Intermediate,,
1245,Walking Butt Kicks,,Strength,Glutes,Body Only,Intermediate,,
1246,Walking Glute Stretch,,Strength,Glutes,Body Only,Intermediate,,
1247,Lunge kick,"The lunge kick is a lower-body, cardio-based exercise performed at a high intensity. It includes a kick of the front leg to make the movement more powerful. It can be performed either for time or reps and is a great inclusion in a fat-loss or athleticism-focused circuit workout.",Strength,Glutes,Body Only,Intermediate,,
1248,Curtsy lunge,"The curtsy lunge is a lower-body bodyweight movement that targets the muscles of the hips and glutes. It is usually performed for moderate to high reps, at least 8-12 reps per leg.",Strength,Glutes,Body Only,Intermediate,,
1249,Alternating standing glute stretch,"The alternating standing glute stretch focuses on improving lower-body mobility and flexibility, particularly in the hips and glutes. It involves performing a partial squat in a ""figure 4"" position. It can be performed as part of a lower-body warm-up or done post-workout to help combat tightness and soreness.",Stretching,Glutes,Body Only,Intermediate,,
1250,Side-lying leg lift,"The side-lying leg lift is a bodyweight exercise targeting the muscles of the hips and glutes. It can be a worthy addition to a dynamic warm-up on a lower-body or strength-focused training day, a component of a lower-body circuit or workout, or a glute activation drill to do anytime. Generally, leg lifts are done for high reps, such as 8-15 reps per leg or more.",Strength,Glutes,Body Only,Intermediate,,
1251,FYR Progressive High Knee,"High knees is a full-body, cardio-based exercise with an emphasis on the lower body. It is often performed for reps or time as part of a dynamic warm-up.",Strength,Glutes,Body Only,Intermediate,,
1252,Glute-Ham Raise - Gethin Variation,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.,Strength,Glutes,Body Only,Intermediate,,
1253,Lunge glute stretch,"The lunge glute stretch is a lower-body stretch targeting the glutes, hips, and piriformis. It is influenced by the pigeon pose from yoga, but is performed with straight arms. It can be part of a dynamic warm-up or mobility work performed anytime.",Stretching,Glutes,Body Only,Intermediate,,
1254,Natural Glute Ham Raise - Gethin Variation,The glute ham raise is an exercise targeting the glutes and hamstrings on a GHD.,Strength,Glutes,Body Only,Intermediate,,
1255,Groiner,"The groiner is an explosive bodyweight exercise targeting the legs, shoulders, and core. It also includes a dynamic stretch of the hips. It can be performed for time or reps in any fat-loss or athleticism-focused circuit or workout.",Strength,Glutes,Body Only,Intermediate,,
1256,HM Alternating Donkey Kick,,Strength,Glutes,Body Only,Intermediate,,
1257,HM Alternating Slow Step-Down With Chair,,Strength,Glutes,Body Only,Intermediate,,
1258,HM Right Side Iron Cross,,Strength,Glutes,Body Only,Intermediate,,
1259,HM Single-Leg Bridge,,Strength,Glutes,Body Only,Intermediate,,
1260,HM Hi-Low,,Strength,Glutes,Body Only,Intermediate,,
1261,HM Kick-Back,,Strength,Glutes,Body Only,Intermediate,,
1262,HM Left Side Iron Cross,,Strength,Glutes,Body Only,Intermediate,,
1263,HM Left Side-Kick,,Strength,Glutes,Body Only,Intermediate,,
1264,HM Leg Lifts,,Strength,Glutes,Body Only,Intermediate,,
1265,Walking lunge,"The walking lunge is a lower-body exercise that targets the glutes, quads, and hamstrings while challenging stability and balance. It can be performed for reps, time, or distance in the lower-body portion of any workout.",Strength,Glutes,Body Only,Intermediate,,
1266,High Plyometric Box Jump,,Strength,Glutes,Body Only,Intermediate,,
1267,Barbell hip thrust-,"The barbell hip thrust is a popular exercise that targets the posterior chain, particularly the glutes and hamstrings. It involves fully extending your hips while holding a weighted barbell across the front of the hips. It is a great movement to activate the glutes prior to other lower-body training, but can also be performed in the main part of a workout, or for high reps as a glute burnout.",Strength,Glutes,Body Only,Intermediate,,
1268,UN Glute Bridge,,Strength,Glutes,Body Only,Intermediate,,
1269,Holman Donkey Kick,,Strength,Glutes,Body Only,Intermediate,,
1270,Holman Hip Raise with Alternating Kick,,Strength,Glutes,Body Only,Intermediate,,
1271,Holman Left Leg Donkey Kick,,Strength,Glutes,Body Only,Intermediate,,
1272,Holman Diagonal Right Leg Step-Out to Right Knee-Up,,Strength,Glutes,Body Only,Intermediate,,
1273,Holman Right Leg Donkey Kick,,Strength,Glutes,Body Only,Intermediate,,
1274,Holman Butt Tap to Jump,,Strength,Glutes,Body Only,Intermediate,,
1275,Holman Butt Tap to Jump-Forward-Jump-Back,,Strength,Glutes,Body Only,Intermediate,,
1276,Holman Traveling High Knees to Squat Thrust,,Strength,Glutes,Body Only,Intermediate,,
1277,Holman Butt Kicker to High Knees,,Strength,Glutes,Body Only,Intermediate,,
1278,Holman Daisy Cutter,,Strength,Glutes,Body Only,Intermediate,,
1279,Holman Frogger,,Strength,Glutes,Body Only,Intermediate,,
1280,Holman Hip Raise with Chest Press,,Strength,Glutes,Body Only,Intermediate,,
1281,Total Fitness Bear Crawl,"The bear crawl is a popular bodyweight crawling exercise. While it looks simple, the bear crawl is an intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups, the shoulders, core, and legs in particular. It can be done as a full-body warm-up, in short bursts for power or circuit training, or for longer durations as cardiovascular conditioning.",Strength,Glutes,Body Only,Intermediate,,
1282,Pigeon stretch,"The pigeon stretch is a lower-body stretch targeting the glutes, hips, and piriformis. It is similar to the pigeon pose from yoga, but is also popular as part of dynamic warm-ups or cool-downs in strength training. It can also be performed anytime to help combat training-related soreness.",Strength,Glutes,Body Only,Intermediate,,
1283,Levitating side kick-through,"The levitating side kick-through is a full-body movement that starts in a bear crawl position and ends with a leg kicked out to the side. In between reps, you kick into the air in a partial handstand. It is commonly performed for reps or time in bodyweight circuits and animal-style flows, but can also work on its own or as part of a dynamic warm-up or mobility sequence.",Strength,Glutes,Body Only,Intermediate,,
