,Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc
2016,Dumbbell walking lunge-,"The dumbbell walking lunge is a popular lower-body movement that targets the muscles of the quads, glutes, hamstrings, and hips. It also works the core and upper-back muscles to maintain posture while the lower body moves. The dumbbell walking lunge is often performed for moderate to high reps, such as 8-12 reps per leg or more, as part of the lower-body portion of a workout. If this movement hurts your knees, try performing reverse lunges or split squats instead.",Strength,Quadriceps,Other,Intermediate,0.0,Average
2017,Single-Leg Box Jump,,Plyometrics,Quadriceps,Other,Beginner,0.0,Average
2018,Conan's Wheel,,Strongman,Quadriceps,Other,Beginner,0.0,Average
2019,Single-Leg Hop Progression,,Plyometrics,Quadriceps,Other,Beginner,0.0,Average
2020,Rickshaw Deadlift,,Strongman,Quadriceps,Other,Beginner,0.0,
2021,Single-cone sprint drill,"The single-cone sprint drill is an agility drill that involves moving quickly around a single cone. It demands that an athlete start, stop, and change directions all in a short period of time and a small space. It can be beneficial for football players and other athletes where quick changes of direction are important.",Plyometrics,Quadriceps,Other,Intermediate,0.0,
2022,Single-Leg Stride Jump,,Plyometrics,Quadriceps,Other,Beginner,0.0,
2023,Trap Bar Jump,,Plyometrics,Quadriceps,Other,Beginner,0.0,
2024,Single-Leg Lateral Hop,,Plyometrics,Quadriceps,Other,Beginner,0.0,Average
2025,Burpee Box-Jumps,,Plyometrics,Quadriceps,Other,Intermediate,0.0,
2026,Sandbag Load,,Strongman,Quadriceps,Other,Beginner,0.0,Average
2027,Single-leg knee-tap squat,"The single-leg knee-tap squat is a single-leg squat variation that involves “floating” the back leg over the ground on the descent until touching just the knee to the ground or a pad. It is similar to a lunge, but without touching the back foot to the ground. It is an intense strength and coordination challenge that can work in any strength- or athleticism-focused workout.",Strength,Quadriceps,Other,Intermediate,0.0,Average
2028,Car Deadlift,,Strongman,Quadriceps,Other,Beginner,0.0,
2029,Barbell Squat To A Box,,Strength,Quadriceps,Other,Beginner,0.0,
2030,Double Under,,Cardio,Quadriceps,Other,Beginner,0.0,
2031,Plate push,"The plate push is a conditioning exercise that targets the cardiovascular system and the muscles of the lower body. It involves pushing a plate along turf or another flat surface either for time or distance. It can be used as part of a dynamic warm-up or for power training, as a finisher, or as part of a conditioning workout or circuit.",Cardio,Quadriceps,Other,Intermediate,,
2032,Hybrid deadlift,"The hybrid deadlift is a version of the barbell deadlift in which the lifter's stance is wider than a conventional position, but narrower than a wide sumo deadlift. The feet are just outside the shoulders and grip placement is just inside of the legs. Many non-competitive lifters find this position to be more spine friendly and strong than either of the other traditional stances. This variation of the deadlift has all the same benefits as the others, and is capable of building serious full-body and posterior chain strength.",Strength,Quadriceps,Other,Intermediate,,
2033,Boss Everline Suspension Side Run,,Strength,Quadriceps,Other,Intermediate,,
2034,Boss Everline Lunge Sled Push,,Strength,Quadriceps,Other,Intermediate,,
2035,Squat Bottom Position Hold,,Strength,Quadriceps,Other,Intermediate,,
2036,TRX Squat Jump,,Strength,Quadriceps,Other,Intermediate,,
2037,Landmine squat,"The landmine squat is a lower-body exercise that uses an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. The landmine squat is similar in many ways to a goblet squat, but with slight differences due to the angle of the barbell. It can be trained in traditional muscle and strength-focused rep ranges or for higher reps.",Strength,Quadriceps,Other,Intermediate,,
2038,Dumbbell Bulgarian split squat,"The dumbbell Bulgarian split squat is a single-leg exercise targeting the quads, glutes, and hamstrings. Overloading the movement with dumbbells usually presents less of a balance challenge than putting a barbell on the back. Dumbbell split squats are usually performed for moderate to high reps, such as 8-12 reps per leg, but they are also effective done with heavier weights in lower rep ranges.",Strength,Quadriceps,Other,Intermediate,,
2039,Holman Towel Alternating Prisoner Reverse Lunge,,Strength,Quadriceps,Other,Intermediate,,
2040,Holman Weighted Burpee to Belly Touch,,Strength,Quadriceps,Other,Intermediate,,
2041,Holman Weighted Burpee to Front Punch,,Strength,Quadriceps,Other,Intermediate,,
2042,Holman Weighted Low Squat Punch,,Strength,Quadriceps,Other,Intermediate,,
2043,Holman Weighted Hook Punch to Squat Thrust,,Strength,Quadriceps,Other,Intermediate,,
2044,Holman Towel Alternating Side Lunge Squat,,Strength,Quadriceps,Other,Intermediate,,
2045,Holman Weighted Burpee to Renegade Side Punch,,Strength,Quadriceps,Other,Intermediate,,
2046,Holman Weighted Reverse Lunge to Knee-Up Overhead Press,,Strength,Quadriceps,Other,Intermediate,,
2047,Holman Lunge Jump with Overhead Press,,Strength,Quadriceps,Other,Intermediate,,
2048,Holman Weighted Burpee to Belly Touch to Standing T,,Strength,Quadriceps,Other,Intermediate,,
2049,Holman Weighted Squat Jump,,Strength,Quadriceps,Other,Intermediate,,
2050,Holman Weighted Plie Squat,,Strength,Quadriceps,Other,Intermediate,,
2051,Holman Heels-Elevated Sissy Squat,,Strength,Quadriceps,Other,Intermediate,,
2052,Holman Squat Jump to Overhead Press,,Strength,Quadriceps,Other,Intermediate,,
2053,Holman 180 Jump to Overhead Press,,Strength,Quadriceps,Other,Intermediate,,
2054,Holman Weighted Burpee to Row,,Strength,Quadriceps,Other,Intermediate,,
2055,Holman Weighted Burpee to 180 Jump,,Strength,Quadriceps,Other,Intermediate,,
2056,Holman Weighted 180 Jump,,Strength,Quadriceps,Other,Intermediate,,
2057,Holman Weighted Narrow-Mid-Wide Hop,,Strength,Quadriceps,Other,Intermediate,,
2058,Holman Alternating Weighted Diagonal Burpee,,Strength,Quadriceps,Other,Intermediate,,
2059,Holman Towel Burpee to Push-Up,,Strength,Quadriceps,Other,Intermediate,,
2060,Holman Towel Right Side Squat,,Strength,Quadriceps,Other,Intermediate,,
2061,ACFT Sprint-drag-carry,"The sprint-drag-carry is a strength and endurance relay that is part of the new Army Combat Fitness Test or ACFT. It combines sprinting, reverse sled drag, side shuffle, and a farmer's carry to test overall strength and athletic conditioning. Practicing this relay as a drill is great for developing strenght, speed, endurance, and power, and can also be great conditioning work for lifters and athletes of all ability levels.",Strength,Quadriceps,Other,Intermediate,,
2062,Cable Hip Adduction,,Strength,Quadriceps,Cable,Beginner,8.2,Average
2063,Cable Deadlifts,,Strength,Quadriceps,Cable,Beginner,7.7,Average
2064,KV Cable Squat,,Strength,Quadriceps,Cable,Intermediate,,
2065,Single-Leg Press,"The single-leg leg press is an exercise targeting the quadriceps one leg at a time. Many lifters prefer the leg press to squatting for several reasons, including the perception that it’s safer for the spine.",Strength,Quadriceps,Machine,Intermediate,9.6,Average
2066,Stair climber,"The stair climber is a popular cardio machine found in most commercial gyms. Along with burning a ton of calories, the stair climber also helps build strength in the lower body, especially the glutes. It can work well at higher speeds for interval-style conditioning training, but also works well at slower paces for steady-state cardio.",Cardio,Quadriceps,Machine,Intermediate,9.1,Average
2067,Leg Press,The leg press is a machine exercise targeting the quadriceps. It’s favorite among lifters who prefer the seated position to standing with a load on the spine.,Strength,Quadriceps,Machine,Intermediate,8.8,Average
2068,Elliptical trainer,"The elliptical trainer is a popular machine for cardiovascular training without the significant impact on your joints of running. On many machines, you can adjust the resistance level to make the movement more difficult for all four limbs. The elliptical is a mainstay in most commercial gyms, and can be equally effective for HIIT-style interval workouts or for longer-duration endurance work.",Cardio,Quadriceps,Machine,Intermediate,8.8,Average
2069,Narrow-stance leg press,"The narrow-stance leg press is a machine-based exercise that targets the muscles of the legs. It emphasizes the quads, particularly the muscles of the outer quads and hips. It is often used as an accessory for squats, or as a muscle-building movement during lower-body training when it is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Machine,Intermediate,8.8,Average
2070,Narrow Stance Hack Squats,,Strength,Quadriceps,Machine,Beginner,8.8,Average
2071,Stairmaster,"The stair climber is a popular cardio machine found in most commercial gyms. Along with burning a ton of calories, the stair climber also helps build strength in the lower body, especially the glutes. It can work well at higher speeds for interval-style conditioning training, but also works well at slower paces for steady-state cardio.",Cardio,Quadriceps,Machine,Intermediate,8.8,Average
2072,Machine Squat,,Strength,Quadriceps,Machine,Intermediate,8.8,Average
2073,Smith machine back squat,"The Smith machine back squat is a machine-based exercise targeting the muscles of the lower body. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout.",Strength,Quadriceps,Machine,Intermediate,8.7,Average
2074,Leg Extensions,The leg extension is an isolation exercise for the quads.,Strength,Quadriceps,Machine,Intermediate,8.5,Average
2075,Treadmill running,"Treadmill running is a popular cardiovascular exercise performed on a machine that is available in most gyms. Performing this exercise on a treadmill allows you to adjust the speed of your running and, depending on the machine, perform it on an adjustable incline. Many machines also have built-in heart rate monitors and timers to help you track your progress.",Cardio,Quadriceps,Machine,Intermediate,8.4,Average
2076,Stationary bike,"The stationary bike is a popular cardio machine found in most commercial gyms. Along with burning a ton of calories, the stationary bike also helps develop the lower body. Stationary bikes come in multiple variations, ranging from ones that resemble riding a bike, to recumbent bikes, to fan bikes that work both the arms and the legs. No matter the variation, a stationary bike can work well at higher speeds for interval-style conditioning training, but also works well at slower paces for steady-state cardio.",Cardio,Quadriceps,Machine,Intermediate,8.3,Average
2077,Treadmill jogging,"Treadmill jogging is a popular cardiovascular exercise performed on a machine that is available in most gyms. Performing this exercise on a treadmill allows you to adjust the speed of your jogging and, depending on the machine, perform it on an adjustable incline. Many machines also have built-in heart rate monitors and timers to help you track your progress.",Cardio,Quadriceps,Machine,Intermediate,8.3,Average
2078,Recumbent Bike,,Cardio,Quadriceps,Machine,Beginner,8.2,Average
2079,Smith machine leg press,"The Smith machine leg press is a machine-based movement that targets the quads, glutes, and hamstrings. It can serve as a substitute for the leg press or be programmed similarly to the leg press. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of lower-body training. If your Smith machine has safety bars, set them at a height that allows you a full range of motion while giving adequate protection from the weight potentially falling.",Strength,Quadriceps,Machine,Intermediate,8.0,Average
2080,Lying Machine Squat,,Strength,Quadriceps,Machine,Intermediate,8.0,Average
2081,Seated Leg Press,"The seated leg press is a lower body exercise that targets the quads, adductors, glutes, and hamstrings.",Strength,Quadriceps,Machine,Intermediate,7.7,Average
2082,Smith machine pistol squat,"The Smith machine pistol squat is a machine-based exercise that targets the quads, glutes, and hamstrings. It is similar in form to a pistol squat but is performed with a bar on the shoulders. This adds extra resistance, but also eliminates some of the balance challenge of single-leg squats. This squat variation can be performed in low reps for strength or for higher reps for muscle gain.",Strength,Quadriceps,Machine,Intermediate,7.0,Average
2083,Leverage Deadlift,,Strength,Quadriceps,Machine,Beginner,0.0,
2084,Leg press-,"The leg press is a machine exercise targeting the leg muscles, including the quads, glutes, and hamstrings. It's a favorite among lifters who prefer the seated position to standing with a load on the spine. The leg press is often used as an accessory for squats or deadlifts, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Machine,Intermediate,,
2085,TBS Hack Squat,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Machine,Intermediate,,
2086,Leg Extensions - Gethin Variation,The leg extension is an isolation exercise for the quads.,Strength,Quadriceps,Machine,Intermediate,,
2087,Seated leg press-,"The seated leg press is a machine-based exercise that targets the quads, glutes, and hamstrings. It is similar in many ways to larger leg press machines, but often utilizes a selectorized weight stack rather than plate loading. Leg press variations are often used as an accessory for squats or deadlifts, but can also be the main lower-body movement in a workout. This movement is often performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Machine,Intermediate,,
2088,Smith machine front squat,"The Smith machine front squat is a machine-based exercise targeting the muscles of the lower body. The Smith machine mimics a barbell but provides more stability. This movement can be programmed in low reps for strength or higher reps for muscle and strength endurance. It is often performed for moderate to high reps, such as 8-12 reps per set or more, as part of a full-body or lower-body workout.",Strength,Quadriceps,Machine,Intermediate,,
2089,Machine Deadlift - Gethin Variation,,Strength,Quadriceps,Machine,Intermediate,,
2090,Single-leg hack squat,"The single-leg hack squat is a lower-body exercise mainly targeting the quads, performed one side at a time per set. It is often used as an accessory for squats, or as a muscle-building movement during lower-body training, and is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Machine,Intermediate,,
2091,Narrow-stance hack squat,"The narrow-stance hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, or as a muscle-building movement during lower-body training, and is usually performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Machine,Intermediate,,
2092,Alternating Single-Leg Curl - Gethin Variation,,Strength,Quadriceps,Machine,Intermediate,,
2093,Stiff-Legged Deadlift - Gethin Variation,"The barbell stiff-legged deadlift targets the hamstrings, glutes, lower and upper back, as well as the core. It is a popular accessory movement for the deadlift, but also a muscle-building hamstring movement.",Strength,Quadriceps,Machine,Intermediate,,
2094,Single-Leg Press - Gethin Variation,"The single-leg leg press is an exercise targeting the quadriceps one leg at a time. Many lifters prefer the leg press to squatting for several reasons, including the perception that it’s safer for the spine.",Strength,Quadriceps,Machine,Intermediate,,
2095,Hack squat-,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Machine,Intermediate,,
2096,Smith machine lunge squat,"The Smith machine lunge squat is an exercise targeting the quads, glutes, and hamstrings. Using added weight allows you to overload the exercise beyond body weight and perform the movement in strength ranges. The Smith machine mimics a barbell but provides more stability.",Strength,Quadriceps,Machine,Intermediate,,
2097,Hack Squat - Gethin Variation,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Machine,Expert,,
2098,Leg Press - Gethin Variation,The leg press is a machine exercise targeting the quadriceps. It’s favorite among lifters who prefer the seated position to standing with a load on the spine.,Strength,Quadriceps,Machine,Intermediate,,
2099,AM Leg Press,The leg press is a machine exercise targeting the quadriceps. It’s favorite among lifters who prefer the seated position to standing with a load on the spine.,Strength,Quadriceps,Machine,Intermediate,,
2100,Leg extension,"The leg extension is a popular machine-based exercise for the legs, particularly the quadriceps. It is usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of a leg pre-exhaust or as a muscle-building movement for lower-body training.",Strength,Quadriceps,Machine,Intermediate,,
2101,UP Quad Extension,The leg extension is an isolation exercise for the quads.,Strength,Quadriceps,Machine,Intermediate,,
2102,UP Single-Leg Press,"The single-leg leg press is an exercise targeting the quadriceps one leg at a time. Many lifters prefer the leg press to squatting for several reasons, including the perception that it’s safer for the spine.",Strength,Quadriceps,Machine,Intermediate,,
2103,UP Leg Press,The leg press is a machine exercise targeting the quadriceps. It’s favorite among lifters who prefer the seated position to standing with a load on the spine.,Strength,Quadriceps,Machine,Intermediate,,
2104,Pop Squat On Leg Press,,Strength,Quadriceps,Machine,Intermediate,,
2105,King Maker Leg Press,The leg press is a machine exercise targeting the quadriceps. It’s favorite among lifters who prefer the seated position to standing with a load on the spine.,Strength,Quadriceps,Machine,Intermediate,,
2106,Single-leg leg press,"The single-leg leg press is a machine exercise targeting the leg muscles, including the quads, glutes, and hamstrings. The leg press is often used as an accessory for squats or deadlifts, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Machine,Intermediate,,
2107,King Maker Hack Squat,"The hack squat is a machine-based exercise that targets the muscles of the legs, particularly the quadriceps. It is often used as an accessory for squats, but can also be the main lower-body movement in a workout. It is often performed for moderate to high reps, such as 8-12 reps per set or more.",Strength,Quadriceps,Machine,Intermediate,,
2108,30 Legs Feet-High Leg Press,,Strength,Quadriceps,Machine,Intermediate,,
2109,30 Legs Leg Press,,Strength,Quadriceps,Machine,Intermediate,,
2110,30 Legs Leg Press Calf Raise,,Strength,Quadriceps,Machine,Intermediate,,
2111,30 Legs Lying Leg Curl,,Strength,Quadriceps,Machine,Intermediate,,
2112,30 Legs Machine Hack Squat,,Strength,Quadriceps,Machine,Intermediate,,
2113,30 Legs Single-Leg Leg Extension,,Strength,Quadriceps,Machine,Intermediate,,
2114,30 Legs Single-Leg Leg Press,,Strength,Quadriceps,Machine,Intermediate,,
2115,30 Legs Single-Leg Lying Leg Curl,,Strength,Quadriceps,Machine,Intermediate,,
2116,30 Legs Smith Machine Split Squat,,Strength,Quadriceps,Machine,Intermediate,,
2117,30 Legs Smith Machine Squat,,Strength,Quadriceps,Machine,Intermediate,,
